TMK13,Bedrooms
2110010230000,1.0
2110020090000,
2110020090000,
2110020090000,3.0
2110030030000,3.0
2110030060000,2.0
2110030120000,2.0
2110030250000,
2110030260000,
2110030300000,3.0
2110030310000,
2110030310000,1.0
2110030410000,1.0
2110030530000,3.0
2110030580000,2.0
2110030590000,2.0
2110030610000,5.0
2110030610000,
2110030680000,3.0
2110030700000,2.0
2110030720000,3.0
2110030730000,3.0
2110030730000,2.0
2110030800000,2.0
2110030890000,3.0
2110040020000,4.0
2110040350000,3.0
2110040390000,3.0
2110050030000,3.0
2110050040000,4.0
2110050050000,1.0
2110050060000,1.0
2110050070000,3.0
2110050090000,3.0
2110050090000,
2110050090000,1.0
2110050100000,2.0
2110050110000,3.0
2110050150000,3.0
2110050160000,3.0
2110050260000,2.0
2110050350000,2.0
2110050400000,4.0
2110050430000,3.0
2110050470000,2.0
2110050500000,2.0
2110050510000,1.0
2110050560000,3.0
2110050580000,3.0
2110060010000,1.0
2110060020000,2.0
2110060030000,2.0
2110060050000,3.0
2110060070000,3.0
2110060080000,3.0
2110060090000,2.0
2110060090000,3.0
2110060110000,3.0
2110060480000,1.0
2110060710000,1.0
2110070030000,4.0
2110070030000,3.0
2110070030000,3.0
2110070030000,3.0
2110070030000,3.0
2110070030000,3.0
2110070030000,3.0
2110070030000,3.0
2110070030000,2.0
2110070030000,6.0
2110070030000,3.0
2110070030000,3.0
2110070030000,
2110070030000,2.0
2110070030000,2.0
2110070030000,3.0
2110070050000,3.0
2110070050000,2.0
2110070200000,3.0
2110070200000,1.0
2110080100000,3.0
2110080100000,3.0
2110080110000,2.0
2110080110000,3.0
2110080110000,5.0
2110080110000,3.0
2110080110000,3.0
2110080110000,1.0
2110080110000,2.0
2110080110000,3.0
2110080210000,5.0
2110080230000,1.0
2120010140000,1.0
2120020020000,1.0
2120020070000,1.0
2120020070000,1.0
2120020110000,1.0
2120020160000,3.0
2120020160000,2.0
2120020170000,3.0
2120020180000,2.0
2120020180000,2.0
2120020190000,2.0
2120020210000,
2120020220000,2.0
2120020230000,
2120020250000,3.0
2120020280000,2.0
2120020330000,4.0
2120020340000,4.0
2120020360000,2.0
2120020370000,2.0
2120020380000,1.0
2120020380000,1.0
2120020390000,1.0
2120020390000,2.0
2120020410000,1.0
2120020430000,1.0
2120020440000,1.0
2120020450000,2.0
2120020450000,1.0
2120020450000,1.0
2120020460000,2.0
2120020470000,1.0
2120020480000,1.0
2120020480000,1.0
2120020500000,1.0
2120020500000,2.0
2120020500000,2.0
2120020520000,1.0
2120030010000,2.0
2120030010000,2.0
2120030010000,1.0
2120030010000,2.0
2120030010000,2.0
2120030010000,2.0
2120030010000,2.0
2120030030000,3.0
2120030030000,2.0
2120030040000,1.0
2120030050000,4.0
2120030050000,1.0
2120030050000,3.0
2120030050000,2.0
2120030050000,3.0
2120030050000,3.0
2120030050000,3.0
2120030070000,3.0
2120030130000,1.0
2120030130000,
2120030170000,1.0
2120030200000,
2120030200000,
2120030200000,
2120030200000,
2120030200000,
2120030200000,
2120030210000,
2120030210000,
2120030210000,
2120030220000,2.0
2120030220000,2.0
2120030220000,1.0
2120030220000,2.0
2120030230000,1.0
2120030240000,1.0
2120030260000,2.0
2120030310000,3.0
2120030320000,1.0
2120030330000,2.0
2120030340000,4.0
2120030340000,1.0
2120030350000,4.0
2120030370000,2.0
2120030380000,2.0
2120030380000,1.0
2120030380000,1.0
2120030390000,1.0
2120030390000,
2120030400000,2.0
2120030410000,2.0
2120030420000,2.0
2120030440000,5.0
2120030450000,2.0
2120030470000,2.0
2120030480000,
2120030480000,
2120030480000,
2120030490000,5.0
2120030490000,5.0
2120030500000,1.0
2120030520000,
2120030550000,2.0
2120040010000,2.0
2120040110000,1.0
2120040120001,2.0
2120040120001,1.0
2130020040000,
2130020050000,2.0
2130020050000,2.0
2130020060000,2.0
2130020060000,2.0
2130020090000,2.0
2130020110000,1.0
2130020120000,2.0
2130020120000,2.0
2130020120000,2.0
2130020120000,2.0
2130020120000,2.0
2130020140000,2.0
2130020140000,1.0
2130020150000,2.0
2130020160000,3.0
2130020170000,3.0
2130020180000,3.0
2130020210000,3.0
2130020250000,1.0
2130020310000,3.0
2130020320000,4.0
2130020330000,2.0
2130020340000,1.0
2130020350000,1.0
2130020390000,
2130020420000,2.0
2130020440000,2.0
2130020500000,
2130030090000,2.0
2130030090000,
2130030120000,1.0
2130030130000,0.0
2130030150001,3.0
2130030150002,1.0
2130030160000,0.0
2130030160000,6.0
2130030160000,
2130030200000,1.0
2130030280000,6.0
2130030380000,2.0
2130030430000,2.0
2130030470000,3.0
2130030500000,1.0
2130030540001,2.0
2130040020000,3.0
2130040030000,3.0
2130040040000,3.0
2130040050000,3.0
2130040060000,1.0
2130040060000,1.0
2130040080000,3.0
2130040080000,
2130040080000,2.0
2130040080000,2.0
2130040100000,2.0
2130040100000,2.0
2130040130000,2.0
2130040140000,3.0
2130040140000,2.0
2130040220000,2.0
2130040220000,2.0
2130040220000,2.0
2130040220000,2.0
2130040220000,2.0
2130050100000,1.0
2130050100000,1.0
2130050140000,3.0
2130050150000,3.0
2130050160000,
2130050170000,4.0
2130050170000,4.0
2130050180000,3.0
2130050190000,3.0
2130050200000,2.0
2130050220000,3.0
2130050220000,3.0
2130050230000,2.0
2130050240000,1.0
2130050240000,1.0
2130050250000,3.0
2130050270000,1.0
2130050320000,1.0
2130050330000,3.0
2130060020000,4.0
2130060040000,4.0
2130060040000,2.0
2130060050000,4.0
2130060060000,1.0
2130060080000,2.0
2130060090000,2.0
2130060090000,1.0
2130060090000,1.0
2130060090000,1.0
2130060090000,1.0
2130060090000,1.0
2130060090000,1.0
2130060090000,1.0
2130060090000,1.0
2130060090000,1.0
2130060090000,1.0
2130060090000,1.0
2130060090000,1.0
2130060130000,2.0
2130060130000,3.0
2130070020000,2.0
2130070030000,1.0
2130070060000,1.0
2130070100000,2.0
2130070100000,3.0
2130070130000,1.0
2130070150000,1.0
2130070170000,2.0
2130070180000,2.0
2130070200000,2.0
2130070200000,2.0
2130070220000,2.0
2130070230000,1.0
2130070250000,1.0
2130080020000,2.0
2130080020000,3.0
2130080030000,3.0
2130080040000,4.0
2130080050000,3.0
2130080050000,2.0
2130080060000,4.0
2130080070000,1.0
2130080080000,2.0
2130080080000,1.0
2130080090000,2.0
2130080100000,2.0
2130080110000,3.0
2130080110000,1.0
2130080120000,3.0
2130080120000,2.0
2130080130000,2.0
2130080140000,3.0
2130080140000,1.0
2130080150000,3.0
2130080160000,1.0
2130080190000,2.0
2130080190000,2.0
2130080200000,3.0
2130080210000,3.0
2130080220000,2.0
2130080230000,2.0
2130080230000,2.0
2130080240000,1.0
2130080240000,2.0
2130080250000,4.0
2130080260000,1.0
2130080260000,1.0
2130080270000,2.0
2130080280000,3.0
2130080290000,3.0
2130080300000,1.0
2130080300000,3.0
2130080310000,2.0
2130080310000,2.0
2130080320000,1.0
2130080320000,4.0
