TMK13,TMK9,TMK_Island,TMK_Zone,TMK_Sec,TMK_Plat,TMK_Parcel,TMK_CPR
2110010230000,211001023000,2,11,00,102,3000,0
2110020090000,211002009000,2,11,00,200,9000,0
2110020090000,211002009000,2,11,00,200,9000,0
2110020090000,211002009000,2,11,00,200,9000,0
2110030030000,211003003000,2,11,00,300,3000,0
2110030060000,211003006000,2,11,00,300,6000,0
2110030120000,211003012000,2,11,00,301,2000,0
2110030250000,211003025000,2,11,00,302,5000,0
2110030260000,211003026000,2,11,00,302,6000,0
2110030300000,211003030000,2,11,00,303,0000,0
2110030310000,211003031000,2,11,00,303,1000,0
2110030310000,211003031000,2,11,00,303,1000,0
2110030410000,211003041000,2,11,00,304,1000,0
2110030530000,211003053000,2,11,00,305,3000,0
2110030580000,211003058000,2,11,00,305,8000,0
2110030590000,211003059000,2,11,00,305,9000,0
2110030610000,211003061000,2,11,00,306,1000,0
2110030610000,211003061000,2,11,00,306,1000,0
2110030680000,211003068000,2,11,00,306,8000,0
2110030700000,211003070000,2,11,00,307,0000,0
2110030720000,211003072000,2,11,00,307,2000,0
2110030730000,211003073000,2,11,00,307,3000,0
2110030730000,211003073000,2,11,00,307,3000,0
2110030800000,211003080000,2,11,00,308,0000,0
2110030890000,211003089000,2,11,00,308,9000,0
2110040020000,211004002000,2,11,00,400,2000,0
2110040350000,211004035000,2,11,00,403,5000,0
2110040390000,211004039000,2,11,00,403,9000,0
2110050030000,211005003000,2,11,00,500,3000,0
2110050040000,211005004000,2,11,00,500,4000,0
2110050050000,211005005000,2,11,00,500,5000,0
2110050060000,211005006000,2,11,00,500,6000,0
2110050070000,211005007000,2,11,00,500,7000,0
2110050090000,211005009000,2,11,00,500,9000,0
2110050090000,211005009000,2,11,00,500,9000,0
2110050090000,211005009000,2,11,00,500,9000,0
2110050100000,211005010000,2,11,00,501,0000,0
2110050110000,211005011000,2,11,00,501,1000,0
2110050150000,211005015000,2,11,00,501,5000,0
2110050160000,211005016000,2,11,00,501,6000,0
2110050260000,211005026000,2,11,00,502,6000,0
2110050350000,211005035000,2,11,00,503,5000,0
2110050400000,211005040000,2,11,00,504,0000,0
2110050430000,211005043000,2,11,00,504,3000,0
2110050470000,211005047000,2,11,00,504,7000,0
2110050500000,211005050000,2,11,00,505,0000,0
2110050510000,211005051000,2,11,00,505,1000,0
2110050560000,211005056000,2,11,00,505,6000,0
2110050580000,211005058000,2,11,00,505,8000,0
2110060010000,211006001000,2,11,00,600,1000,0
2110060020000,211006002000,2,11,00,600,2000,0
2110060030000,211006003000,2,11,00,600,3000,0
2110060050000,211006005000,2,11,00,600,5000,0
2110060070000,211006007000,2,11,00,600,7000,0
2110060080000,211006008000,2,11,00,600,8000,0
2110060090000,211006009000,2,11,00,600,9000,0
2110060090000,211006009000,2,11,00,600,9000,0
2110060110000,211006011000,2,11,00,601,1000,0
